fecha,precio_interno_cop_125kg,precio_diario_prom_cop,precio_diario_min_cop,precio_diario_max_cop,precio_exdock_cusd_libra,precio_oic_compuesto_cusd_libra,produccion_miles_sacos_60kg,exportaciones_volumen_miles_sacos,exportaciones_valor_musd
2025-02-01,3118571.4285714286,3118571.4285714286,2939000.0,3380000.0,408.11,354.3167947913337,1361.3928100799765,1184.165,408.42878365
2025-03-01,3054451.6129032257,3054451.6129032257,2955000.0,3239000.0,404.08,347.85002454969737,1063.9383960067662,1252.049,528.2876029
2025-04-01,3044433.3333333335,3044433.3333333335,2804000.0,3311000.0,390.2119047619048,335.7568177900642,702.8167391214691,802.135,332.03953597
2025-05-01,3012759.0,3019322.580645161,2763000.0,3233000.0,401.8219047619047,334.41380952380956,818.6412932234168,911.634,369.3848414
2025-06-01,2700567.0,2700566.6666666665,2440000.0,2950000.0,366.97400000000005,295.0550537243588,909.1029907731332,1084.751,451.95802651
2025-07-01,2369903.2258064514,2369903.2258064514,2225000.0,2507000.0,323.6595454545454,259.3122191514132,1373.3559660678761,1173.816,441.02087837
2025-08-01,2758032.2580645164,2758032.2580645164,2336000.0,3140000.0,352.6757142857143,297.0528962399517,1242.74174988266,1166.665,410.64172111
2025-09-01,2966133.3333333335,2966133.3333333335,2689000.0,3265000.0,406.14904761904756,324.6237609992482,1142.412575389382,1078.407,410.447101100001
2025-10-01,2954935.4838709678,2954935.4838709678,2848000.0,3176000.0,401.6995652173913,326.38451040077564,1208.086500408277,1056.716,441.68326954
2025-11-01,2889633.33333333,2889633.3333333335,2812000.0,3030000.0,407.6457894736842,330.4370561152145,1266.0696378998325,1219.555,489.80689116
2025-12-01,2745225.806451613,2745225.806451613,2598000.0,2916000.0,384.9918181818182,304.67612786208394,1233.4231694949574,1055.841,417.062998
