fecha,precio_arabica_brasil_usd_kg,precio_robusta_usd_kg,precio_arabica_wb_usd_kg,precio_robusta_wb_usd_kg,trm_cop_usd,precio_fnc_cop_kg,surge_flag,precio_arabica_brasil_cop_kg
2011-06-01,6.062296272661535,2.600444692787591,6.062264076,2.60034929,1767.5,,0,10715.108661929264
2011-07-01,5.908865865611135,2.485283607084697,5.908822524,2.485268126,1719.199951171875,,0,10158.521907639823
2011-08-01,5.962195867268574,2.4706459051114305,5.962174328,2.470717634,1779.5,,0,10609.727545804428
2011-09-01,6.060081627221258,2.3381645339263635,6.060059456,2.338219972,1928.0,,0,11683.837377282585
2011-10-01,5.463584223791634,2.162820541892483,5.463489284,2.16273222,1829.5,,0,9995.627337426795
2011-11-01,5.403253865307869,2.1437968282268884,5.403303158,2.143772488,1949.0,,0,10530.941783485037
2011-12-01,5.2094773997938075,2.177176846152489,5.218556002,2.169566542,1896.5999755859373,,0,9880.294709264428
2012-01-01,5.229519439977297,2.132262634101291,5.229508955,2.132308464,1809.0,,0,9460.20066691893
2012-02-01,4.941833609226331,2.248296980126466,4.941876192,2.247169166,1767.0,,0,8732.219987502926
2012-03-01,4.436936918881045,2.283349554024522,4.437018212,2.283324934,1753.5,,0,7780.1688872579125
2012-04-01,4.220721957807267,2.244244670477938,4.22074499,2.24430316,1762.0,,0,7436.912089656405
2012-05-01,4.06455101961004,2.360903535604109,4.07083083,2.356297856,1791.4000244140625,,0,7281.236795761628
2012-06-01,3.718907446927342,2.330204026442056,3.718973478,2.33028334,1756.0999755859375,,0,6530.773276755466
2012-07-01,4.198617019059179,2.36032100934921,4.19869879,2.360266172,1792.0,,0,7523.9216981540485
2012-08-01,3.854220264600941,2.348385103026892,3.85421253704,2.34838039461,1819.0,,0,7010.826661309112
2012-09-01,3.9457706485123194,2.3137533289828744,3.945828876,2.31374869,1797.0,,0,7090.549855376638
2012-10-01,3.8209975331211266,2.30310403450103,3.821047384,2.303166514,1829.0,,0,6988.60448807854
2012-11-01,3.525334742155144,2.1532967552738627,3.525407842,2.153252354,1811.0,,0,6384.381218042966
2012-12-01,3.3666294610050223,2.1296356952629556,3.367336588,2.129442458,1766.0,,0,5945.467628134869
2013-01-01,3.462084677515208,2.194971999352799,3.467646798,2.197785678,1775.0,,0,6145.200302589494
2013-02-01,3.295009612162472,2.293525899927688,3.295025052,2.293466186,1814.0,,0,5977.147436462725
2013-03-01,3.3027058510312175,2.338466118911983,3.302079836,2.342629212,1828.0,,0,6037.346295685065
2013-04-01,3.302236771852639,2.2414817320812137,3.302741222,2.241657616,1824.5,,0,6024.93099024514
2013-05-01,3.2449004161564075,2.1864410613790444,3.24489391026,2.18643667765,1903.0,,0,6175.045491945643
2013-06-01,3.04810270022399,2.0014793029859432,3.0480965889,2.0014752901,1928.0,,0,5876.742006031853
2013-07-01,3.050922223150933,2.098955813192012,3.05091610617,2.09895160487,1895.0,,0,5781.497612871019
2013-08-01,2.979640093059201,2.0725874594549527,2.979634119,2.072583304,2000.0,,0,5959.2801861184025
2013-09-01,2.9163086776536753,1.9351458285566472,2.91630283057,1.93514194867,1907.25,,0,5562.129725454972
2013-10-01,2.8373228728058235,1.8451843717817276,2.83734594,1.84526694,1885.5,,0,5349.77227667538
2013-11-01,2.6900407246621456,1.7572221396362917,2.69003533124,1.75721861648,1960.7843017578125,,0,5274.589624006745
2013-12-01,2.7719945357381635,1.9338564573048427,2.777159814,1.937640518,1929.0,,0,5347.177459438917
2014-01-01,2.921529940333278,1.9332063980884562,2.926192126,1.934113126,2016.0,,0,5889.8043597118885
2014-02-01,3.8281870050618174,2.1142237958341417,3.828102168,2.11423058,2042.5,,1,7819.0719578387625
2014-03-01,4.719806933690777,2.3229917551245967,4.719870958,2.323008094,1969.0,,0,9293.29985243714
2014-04-01,4.92720530584955,2.3274620844683813,4.926884776,2.32697641,1935.0,,0,9534.142266818879
2014-05-01,4.722365634154202,2.2704324591262632,4.72229604,2.270538138,1896.0,,0,8953.605242356367
2014-06-01,4.362752261524727,2.180625508638348,4.362722518,2.180589642,1877.0,,0,8188.885994881912
2014-07-01,4.340800044782631,2.244010514716538,4.34089678,2.244082698,1875.0,,0,8139.000083967432
2014-08-01,4.695083645550144,2.210230465137959,4.695179214,2.21013155,1960.7843017578125,,0,9206.046307634564
2014-09-01,4.641315623652172,2.216148593289284,4.641386486,2.216084024,1981.0999755859373,,0,9194.910268703947
2014-10-01,4.966702502996371,2.308213011961717,4.966788398,2.30823714,2019.5,,0,10030.255704801171
2014-11-01,4.615954426003986,2.272052858075098,4.616033356,2.272081372,2222.22216796875,,0,10257.676251799525
2014-12-01,4.263436898281312,2.166848660010107,4.339133084,2.197344754,2375.0,,0,10125.662633418116
2015-01-01,4.1805491198337625,2.157996613696891,4.188778,2.160748062,2439.0244140625,,0,10196.461367462043
2015-02-01,3.9438195559004567,2.168512672181167,3.943844718,2.168464232,2564.1025390625,,0,10112.357736888702
2015-03-01,3.5436231038225787,2.0318019076815528,3.543706188,2.031777792,2529.89990234375,,0,8965.011744303798
2015-04-01,3.615533944000937,2.0291563583773327,3.6155768,2.029573172,2393.0,,0,8651.972727994242
2015-05-01,3.4939517703763983,1.9303061530437677,3.493881776,1.930365272,2534.0,,0,8853.673786133793
