c_d_dep,departamento,c_d_mun,municipio,grupo_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,anio,periodo,area_sembrada_ha,area_cosechada_ha,produccion_ton,rendimiento_ton_ha,estado_fisico,nombre_cientifico,ciclo_cultivo,fuente_socrata,codigo_dane
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,733,621,673,1.08,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,690,573,643,1.12,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,671,574,822,1.43,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5030,AMAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2018,2018,621,540,791,1.47,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05030
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,1552,1432,1439,1.01,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,1695,1392,1304,0.94,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,1600,1270,1143,0.9,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,1801,1518,1366,0.9,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,1926,1454,1308,0.9,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,1994,1426,1283,0.9,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,1999,1590,895,0.56,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,1922,1621,987,0.61,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,1944,1694,1790,1.06,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,1955,1670,1825,1.09,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,1891,1574,1194,0.76,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2018,2018,1894,1562,1212,0.78,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05031
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,8696,8484,13574,1.6,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,8696,8484,13574,1.6,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,8708,8496,13594,1.6,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,8713,8398,13437,1.6,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,9800,5490,7137,1.3,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,11012,7012,5259,0.75,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,10959,8401,6833,0.81,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,10646,8544,7514,0.88,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,10568,8569,10097,1.18,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,10354,8230,10029,1.22,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,10349,7487,9463,1.26,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,2018,2018,10380,7648,9888,1.29,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05034
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,600,600,480,0.8,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,630,497,398,0.8,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,607,587,294,0.5,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,722,662,289,0.44,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,635,615,308,0.5,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,638,578,289,0.5,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,324,257,128,0.5,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,291,242,130,0.54,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,282,246,264,1.07,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,282,242,268,1.11,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,278,248,292,1.18,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5036,ANGELOPOLIS,OTROS PERMANENTES,CAFE,CAFE,CAFE,2018,2018,269,235,283,1.21,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05036
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,1240,1180,1180,1.0,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,1240,1180,1180,1.0,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,1240,1180,1180,1.0,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,1310,1170,1170,1.0,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,1355,1100,1380,1.25,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,1355,1100,1300,1.18,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,1064,920,748,0.81,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,964,861,757,0.88,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,967,875,906,1.03,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,963,854,914,1.07,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
5,ANTIOQUIA,5038,ANGOSTURA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,848,724,1220,1.69,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05038
