Anio,Semestre,Departamento,Area_sembrada,Area_cosechada,Produccion_ton,Rendimiento,N_municipios,Temp_media_sem,Temp_max_sem,Temp_min_sem,Amplitud_termica,Precip_total_sem,Precip_media_dia,Dias_lluvia,Precip_max_dia,ONI_media,ONI_max,ONI_min,ONI_std,Fase_ENSO_dom,es_El_Nino,es_La_Nina,Precio_interno_cop,Precio_oic_usd,Produccion_sacos,Export_vol_sacos,Export_valor_musd,ICO_composite,ICO_colombian_milds,Temp_media_sem_lag1,Temp_media_sem_lag2,Temp_media_sem_lag3,Amplitud_termica_lag1,Amplitud_termica_lag2,Amplitud_termica_lag3,Precip_total_sem_lag1,Precip_total_sem_lag2,Precip_total_sem_lag3,Precip_media_dia_lag1,Precip_media_dia_lag2,Precip_media_dia_lag3,Dias_lluvia_lag1,Dias_lluvia_lag2,Dias_lluvia_lag3,ONI_media_lag1,ONI_media_lag2,ONI_media_lag3,Precio_interno_cop_lag1,Precio_interno_cop_lag2,ICO_composite_lag1,ICO_composite_lag2,Estres_hidrico,Precio_cop_cambio,ENSO_intensidad
2021,2,CUNDINAMARCA,29638.22,25592.45,25599.77,0.9935714285714285,70,,,,,,,,,-0.65,-0.3,-0.9,0.2588435821108957,La Niña,0,1,1813460.1523915462,177.03401104962472,6861.0,6694.546,1777.9755760799999,177.03333333333333,252.24,,,,,,,,,,,,,,,,-0.8500000000000001,0.39999999999999997,,1072085.6630824374,856529.8387096775,110.83,103.12833333333333,,0.6915254208115469,0.65
2022,2,CUNDINAMARCA,29362.16,25583.510000000002,21163.61,0.8215714285714285,70,,,,,,,,,-0.85,-0.7,-1.0,0.10488088481701514,La Niña,0,1,2194198.9982078853,180.53962279521804,5655.599220188862,5540.512,1710.135522140001,180.49166666666667,264.185,,,,,,,,,,,,,,,,-0.65,-0.8500000000000001,0.39999999999999997,1813460.1523915462,1072085.6630824374,177.03333333333333,110.83,,0.20995159188594803,0.85
2023,2,CUNDINAMARCA,28830.47,25461.989999999998,22931.5,0.883,70,,,,,,,,,1.6666666666666667,2.1,1.1,0.3777124126457412,El Niño,1,0,1362934.884686689,159.2891087629881,6327.565109901505,5588.687,1499.721330479999,159.29,192.6016666666667,,,,,,,,,,,,,,,,-0.85,-0.65,-0.8500000000000001,2194198.9982078853,1813460.1523915462,180.49166666666667,177.03333333333333,,-0.37884627337818144,1.6666666666666667
2024,2,CUNDINAMARCA,28220.82,23896.36,27530.63,1.1295714285714287,70,,,,,,,,,-0.18333333333333335,0.1,-0.4,0.17224014243685085,Neutro,0,0,2222445.1612903224,259.1961844002555,8177.912242085772,6584.232,2048.13785945,259.2083333333333,287.52666666666664,,,,,,,,,,,,,,,,1.6666666666666667,-0.85,-0.65,1362934.884686689,2194198.9982078853,159.29,180.49166666666667,,0.6306319445343256,0.18333333333333335
2019,2,HUILA,148064.6,114024.08,162382.43,1.4225714285714286,35,19.425569196428572,25.721328058035716,15.684938846726189,10.036389211309528,14550.2,3.165839860748477,1596.0,112.8,0.39999999999999997,0.7,0.2,0.20976176963403026,Neutro,0,0,856529.8387096775,103.12790654997177,8079.0,7104.5509999999995,1346.06580042,103.12833333333333,139.74,,,,,,,,,,,,,,,,,,,,,,,712.3522414515683,,0.39999999999999997
2020,2,HUILA,148339.23,127431.9,163558.13,1.2985714285714285,35,19.80734011627907,26.901251518895346,15.725925755813954,11.175325763081393,8464.5,3.041501976284585,906.0,101.8,-0.8500000000000001,-0.4,-1.2,0.3391164991562635,La Niña,0,1,1072085.6630824374,110.81377893845286,7741.0,6789.116,1438.086714300001,110.83,162.48166666666665,19.425569196428572,,,10.036389211309528,,,14550.2,,,3.165839860748477,,,1596.0,,,0.39999999999999997,,,856529.8387096775,,103.12833333333333,,406.8035583932045,0.25166178063041533,0.8500000000000001
2021,2,HUILA,144122.76,116752.97,140029.89,1.1954285714285713,35,19.774778348110125,26.320512935137657,15.91072867008866,10.409784265048996,8935.3,2.830313588850174,1033.0,87.2,-0.65,-0.3,-0.9,0.2588435821108957,La Niña,0,1,1813460.1523915462,177.03401104962472,6861.0,6694.546,1777.9755760799999,177.03333333333333,252.24,19.80734011627907,19.425569196428572,,11.175325763081393,10.036389211309528,,8464.5,14550.2,,3.041501976284585,3.165839860748477,,906.0,1596.0,,-0.8500000000000001,0.39999999999999997,,1072085.6630824374,856529.8387096775,110.83,103.12833333333333,430.10326513605577,0.6915254208115469,0.65
2022,2,HUILA,145789.96,119496.76,136023.18,1.0728571428571427,35,18.932073250490518,24.96375468933944,15.363217083060823,9.600537606278616,6400.21,2.710804743752647,628.0,103.0,-0.85,-0.7,-1.0,0.10488088481701514,La Niña,0,1,2194198.9982078853,180.53962279521804,5655.599220188862,5540.512,1710.135522140001,180.49166666666667,264.185,19.774778348110125,19.80734011627907,19.425569196428572,10.409784265048996,11.175325763081393,10.036389211309528,8935.3,8464.5,14550.2,2.830313588850174,3.041501976284585,3.165839860748477,1033.0,906.0,1596.0,-0.65,-0.8500000000000001,0.39999999999999997,1813460.1523915462,1072085.6630824374,177.03333333333333,110.83,321.10106758926815,0.20995159188594803,0.85
2023,2,HUILA,147991.64,121423.56,142524.31,1.0991428571428572,35,22.55867361111111,28.98695665972222,18.347389305555556,10.639567354166665,3761.4,2.3612052730696798,431.0,98.0,1.6666666666666667,2.1,1.1,0.3777124126457412,El Niño,1,0,1362934.884686689,159.2891087629881,6327.565109901505,5588.687,1499.721330479999,159.29,192.6016666666667,18.932073250490518,19.774778348110125,19.80734011627907,9.600537606278616,10.409784265048996,11.175325763081393,6400.21,8935.3,8464.5,2.710804743752647,2.830313588850174,3.041501976284585,628.0,1033.0,906.0,-0.85,-0.65,-0.8500000000000001,2194198.9982078853,1813460.1523915462,180.49166666666667,177.03333333333333,159.66094110773662,-0.37884627337818144,1.6666666666666667
2024,2,HUILA,149077.28,115607.35,169251.48,1.37,35,22.364191468253967,28.691567460317458,18.118754960317464,10.572812499999994,21759.85,8.463574484636327,1030.0,199.8,-0.18333333333333335,0.1,-0.4,0.17224014243685085,Neutro,0,0,2222445.1612903224,259.1961844002555,8177.912242085772,6584.232,2048.13785945,259.2083333333333,287.52666666666664,22.55867361111111,18.932073250490518,19.774778348110125,10.639567354166665,9.600537606278616,10.409784265048996,3761.4,6400.21,8935.3,2.3612052730696798,2.710804743752647,2.830313588850174,431.0,628.0,1033.0,1.6666666666666667,-0.85,-0.65,1362934.884686689,2194198.9982078853,159.29,180.49166666666667,931.3333196043243,0.6306319445343256,0.18333333333333335
