fecha,Anio,Mes,precio_interno_cop_125kg,precio_oic_compuesto_cusd_libra,produccion_miles_sacos_60kg,exportaciones_volumen_miles_sacos,ONI,Fase_ENSO,Temp_media_nac,Temp_max_nac,Precip_total_nac,ico_composite,colombian_milds,precio_interno_cop_125kg_lag1,precio_interno_cop_125kg_lag2,precio_interno_cop_125kg_lag3,precio_interno_cop_125kg_lag4,precio_interno_cop_125kg_lag5,precio_interno_cop_125kg_lag6,ONI_lag1,ONI_lag2,ONI_lag3,ONI_lag4,ONI_lag5,ONI_lag6,Temp_media_nac_lag1,Temp_media_nac_lag2,Temp_media_nac_lag3,Temp_media_nac_lag4,Temp_media_nac_lag5,Temp_media_nac_lag6,Precip_total_nac_lag1,Precip_total_nac_lag2,Precip_total_nac_lag3,Precip_total_nac_lag4,Precip_total_nac_lag5,Precip_total_nac_lag6,Es_El_Nino,Es_La_Nina
2021-10-01,2021,10,1784935.4838709678,181.5669723456905,1012.0,986.834,-0.8,La Niña,18.155970911949687,24.851635643867922,22538.986,181.57,258.87,1712138.0,1704806.4516129033,1562741.935483871,1420800.0,1385935.4838709678,1207433.3333333333,-0.6,-0.4,-0.3,-0.3,-0.4,-0.5,18.23153533712429,17.88840793918919,18.063545098039217,15.946824842986741,17.440774058577407,18.97063679245283,19109.064,19383.752,15383.932,14118.556,13459.136,12238.081,0,1
2021-11-01,2021,11,1999655.1724137927,195.1705015355246,1131.0,1135.451,-0.9,La Niña,17.755393794749402,24.03325192084328,23375.107,195.17,279.56,1784935.4838709678,1712138.0,1704806.4516129033,1562741.935483871,1420800.0,1385935.4838709678,-0.8,-0.6,-0.4,-0.3,-0.3,-0.4,18.155970911949687,18.23153533712429,17.88840793918919,18.063545098039217,15.946824842986741,17.440774058577407,22538.986,19109.064,19383.752,15383.932,14118.556,13459.136,0,1
2021-12-01,2021,12,2116483.870967742,203.0641365167007,1385.0,1167.18,-0.9,La Niña,18.05271783463107,23.888985632554693,15265.595,203.06,290.57,1999655.1724137927,1784935.4838709678,1712138.0,1704806.4516129033,1562741.935483871,1420800.0,-0.9,-0.8,-0.6,-0.4,-0.3,-0.3,17.755393794749402,18.155970911949687,18.23153533712429,17.88840793918919,18.063545098039217,15.946824842986741,23375.107,22538.986,19109.064,19383.752,15383.932,14118.556,0,1
2022-01-01,2022,1,2148333.333333333,204.2941859123352,868.0,1031.827,-0.8,La Niña,18.278750754375377,24.308763884731444,7420.296,204.29,294.93,2116483.870967742,1999655.1724137927,1784935.4838709678,1712138.0,1704806.4516129033,1562741.935483871,-0.9,-0.9,-0.8,-0.6,-0.4,-0.3,18.05271783463107,17.755393794749402,18.155970911949687,18.23153533712429,17.88840793918919,18.063545098039217,15265.595,23375.107,22538.986,19109.064,19383.752,15383.932,0,1
2022-02-01,2022,2,2213333.333333333,210.89149837121604,928.0,983.233,-0.8,La Niña,17.811720547945207,23.474664769863015,9374.292,210.89,306.36,2148333.333333333,2116483.870967742,1999655.1724137927,1784935.4838709678,1712138.0,1704806.4516129033,-0.8,-0.9,-0.9,-0.8,-0.6,-0.4,18.278750754375377,18.05271783463107,17.755393794749402,18.155970911949687,18.23153533712429,17.88840793918919,7420.296,15265.595,23375.107,22538.986,19109.064,19383.752,0,1
2022-03-01,2022,3,1988774.1935483871,194.783913043478,914.0,1120.626,-0.9,La Niña,15.345903614457832,19.862048192771084,2076.521,194.78,285.81,2213333.333333333,2148333.333333333,2116483.870967742,1999655.1724137927,1784935.4838709678,1712138.0,-0.8,-0.8,-0.9,-0.9,-0.8,-0.6,17.811720547945207,18.278750754375377,18.05271783463107,17.755393794749402,18.155970911949687,18.23153533712429,9374.292,7420.296,15265.595,23375.107,22538.986,19109.064,0,1
2022-04-01,2022,4,2027448.2758620689,198.3709523809524,750.0,848.0,-1.0,La Niña,17.768864013267,23.431825955223882,17577.536,198.37,292.64,1988774.1935483871,2213333.333333333,2148333.333333333,2116483.870967742,1999655.1724137927,1784935.4838709678,-0.9,-0.8,-0.8,-0.9,-0.9,-0.8,15.345903614457832,17.811720547945207,18.278750754375377,18.05271783463107,17.755393794749402,18.155970911949687,2076.521,9374.292,7420.296,15265.595,23375.107,22538.986,0,1
2022-05-01,2022,5,2096733.33333333,193.7070406396392,1017.0,944.263,-0.9,La Niña,18.295299484331615,23.616249420864737,14728.237,193.71,286.44,2027448.2758620689,1988774.1935483871,2213333.333333333,2148333.333333333,2116483.870967742,1999655.1724137927,-1.0,-0.9,-0.8,-0.8,-0.9,-0.9,17.768864013267,15.345903614457832,17.811720547945207,18.278750754375377,18.05271783463107,17.755393794749402,17577.536,2076.521,9374.292,7420.296,15265.595,23375.107,0,1
2022-06-01,2022,6,2172233.333333333,202.4577239711359,951.0,939.0,-0.8,La Niña,17.79695652173913,23.26978764102564,20926.575,202.46,301.57,2096733.33333333,2027448.2758620689,1988774.1935483871,2213333.333333333,2148333.333333333,2116483.870967742,-0.9,-1.0,-0.9,-0.8,-0.8,-0.9,18.295299484331615,17.768864013267,15.345903614457832,17.811720547945207,18.278750754375377,18.05271783463107,14728.237,17577.536,2076.521,9374.292,7420.296,15265.595,0,1
2022-07-01,2022,7,2250290.3225806453,190.81792804666995,943.599220188862,1020.512,-0.8,La Niña,18.098438110113236,23.583051545880515,13867.178,190.82,286.07,2172233.333333333,2096733.33333333,2027448.2758620689,1988774.1935483871,2213333.333333333,2148333.333333333,-0.8,-0.9,-1.0,-0.9,-0.8,-0.8,17.79695652173913,18.295299484331615,17.768864013267,15.345903614457832,17.811720547945207,18.278750754375377,20926.575,14728.237,17577.536,2076.521,9374.292,7420.296,0,1
