fecha,arabica_usd_kg,robusta_usd_kg
2023-05-01,4.852809544,2.70176181
2023-06-01,4.572161418,2.912964406
2023-07-01,4.265719238,2.812654196
2023-08-01,4.116686926,2.747397444
2023-09-01,4.045918624,2.731303718
2023-10-01,4.04768232,2.619970408
2023-11-01,4.347069716,2.703525506
2023-12-01,4.646457112,2.986598714
2024-01-01,4.47317398,3.26393991
2024-02-01,4.602805636,3.378139226
2024-03-01,4.605010256,3.65636227
2024-04-01,5.274332888,4.233531786
2024-05-01,5.083192334,4.04217077
2024-06-01,5.476055618,4.504259122
2024-07-01,5.66807802,4.733760064
2024-08-01,5.763758528,4.732878216
2024-09-01,6.124654822,5.330330236
2024-10-01,6.101726774,4.892272242
2024-11-01,6.723650076,4.984866282
2024-12-01,7.569342308,5.218996926
