Cod_Dpto,Departamento,Cod_Mpio,Municipio,Grupo_cultivo,Subgrupo,Cultivo,Desagregacion,Anio,Periodo,Area_sembrada,Area_cosechada,Produccion,Rendimiento,Ciclo,Estado_fisico,Cod_cultivo,Nombre_cientifico
5,Antioquia,5038,Angostura,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,786.0,654.0,844.0,1.29,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5038,Angostura,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,787.0,659.0,786.0,1.19,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5038,Angostura,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,772.37,660.96,720.45,1.09,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5038,Angostura,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,786.35,668.94,258.56,0.39,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5038,Angostura,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,788.95,684.78,385.13,0.56,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5038,Angostura,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,809.2,674.07,467.22,0.69,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5040,Anorí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,279.0,216.0,289.0,1.34,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5040,Anorí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,278.0,243.0,299.0,1.23,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5040,Anorí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,285.13,239.38,260.92,1.09,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5040,Anorí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,290.75,232.21,193.08,0.83,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5040,Anorí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,290.63,232.17,220.18,0.95,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5040,Anorí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,283.45,244.43,287.41,1.18,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5042,Santa Fé de Antioquia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,2219.0,1906.0,2452.0,1.29,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5042,Santa Fé de Antioquia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,1823.0,1353.0,1609.0,1.19,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5042,Santa Fé de Antioquia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,1866.9,1437.43,1696.17,1.18,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
